season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,instant,dteday,hr,season_label
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000000,1,0.2,0.2,0.6,0.3,25.0,1137,1162,1970-01-01 00:00:00.000000012,2011-01-01,1970-01-01 00:00:00.000000011,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000000,1,0.2,0.2,0.5,0.3,38.0,1368,1406,1970-01-01 00:00:00.000000013,2011-01-01,1970-01-01 00:00:00.000000012,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000000,1,0.2,0.2,0.5,0.1,54.0,1367,1421,1970-01-01 00:00:00.000000014,2011-01-01,1970-01-01 00:00:00.000000013,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000000,2,0.2,0.2,0.5,0.2,222.0,1026,1248,1970-01-01 00:00:00.000000015,2011-01-01,1970-01-01 00:00:00.000000014,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000000,1,0.2,0.2,0.5,0.2,251.0,953,1204,1970-01-01 00:00:00.000000016,2011-01-01,1970-01-01 00:00:00.000000015,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000000,2,0.2,0.2,0.5,0.2,117.0,883,1000,1970-01-01 00:00:00.000000017,2011-01-01,1970-01-01 00:00:00.000000016,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000000,2,0.2,0.2,0.9,0.1,9.0,674,683,1970-01-01 00:00:00.000000018,2011-01-01,1970-01-01 00:00:00.000000017,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000000,2,0.3,0.3,0.7,0.2,78.0,1572,1650,1970-01-01 00:00:00.000000019,2011-01-01,1970-01-01 00:00:00.000000018,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000000,2,0.3,0.3,0.5,0.2,83.0,1844,1927,1970-01-01 00:00:00.000000020,2011-01-01,1970-01-01 00:00:00.000000019,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000000,1,0.2,0.2,0.5,0.35000000000000003,75.0,1468,1543,1970-01-01 00:00:00.000000021,2011-01-01,1970-01-01 00:00:00.000000020,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000000,1,0.1,0.1,0.4,0.2,93.0,888,981,1970-01-01 00:00:00.000000022,2011-01-01,1970-01-01 00:00:00.000000021,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000000,1,0.1,0.1,0.4,0.2,150.0,836,986,1970-01-01 00:00:00.000000023,2011-01-01,1970-01-01 00:00:00.000000022,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000000,1,0.1,0.1,0.5,0.2,86.0,1330,1416,1970-01-01 00:00:00.000000024,2011-01-01,1970-01-01 00:00:00.000000023,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,2,0.2,0.2,0.6,0.1,186.0,1799,1985,1970-01-01 00:00:00.000000025,2011-01-02,1970-01-01 00:00:00.000000000,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,3,0.2,0.2,0.9,0.3,34.0,472,506,1970-01-01 00:00:00.000000026,2011-01-02,1970-01-01 00:00:00.000000001,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1,0.2,0.2,0.7,0.1,15.0,416,431,1970-01-01 00:00:00.000000027,2011-01-02,1970-01-01 00:00:00.000000002,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,2,0.2,0.2,0.8,0.1,38.0,1129,1167,1970-01-01 00:00:00.000000028,2011-01-02,1970-01-01 00:00:00.000000003,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1,0.2,0.2,0.7,0.1,123.0,975,1098,1970-01-01 00:00:00.000000029,2011-01-02,1970-01-01 00:00:00.000000004,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1,0.2,0.3,0.7,0.1,140.0,956,1096,1970-01-01 00:00:00.000000030,2011-01-02,1970-01-01 00:00:00.000000006,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,2,0.2,0.2,0.6,0.2,42.0,1459,1501,1970-01-01 00:00:00.000000031,2011-01-02,1970-01-01 00:00:00.000000007,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,2,0.2,0.2,0.8,0.1,47.0,1313,1360,1970-01-01 00:00:00.000000032,2011-01-02,1970-01-01 00:00:00.000000008,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,2,0.3,0.3,0.8,0.3,72.0,1454,1526,1970-01-01 00:00:00.000000033,2011-01-02,1970-01-01 00:00:00.000000009,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1,0.2,0.2,0.4,0.3,61.0,1489,1550,1970-01-01 00:00:00.000000034,2011-01-02,1970-01-01 00:00:00.000000010,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,2,0.2,0.2,0.6,0.1,88.0,1620,1708,1970-01-01 00:00:00.000000035,2011-01-02,1970-01-01 00:00:00.000000011,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,2,0.2,0.2,0.9,0.2,100.0,905,1005,1970-01-01 00:00:00.000000036,2011-01-02,1970-01-01 00:00:00.000000012,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1,0.3,0.3,0.6,0.1,354.0,1269,1623,1970-01-01 00:00:00.000000037,2011-01-02,1970-01-01 00:00:00.000000013,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1,0.3,0.3,0.7,0.2,120.0,1592,1712,1970-01-01 00:00:00.000000038,2011-01-02,1970-01-01 00:00:00.000000014,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1,0.2,0.2,0.5,0.35000000000000003,64.0,1466,1530,1970-01-01 00:00:00.000000039,2011-01-02,1970-01-01 00:00:00.000000015,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,2,0.1,0.1,0.5,0.2,53.0,1552,1605,1970-01-01 00:00:00.000000040,2011-01-02,1970-01-01 00:00:00.000000016,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1,0.1,0.1,0.4,0.2,47.0,1491,1538,1970-01-01 00:00:00.000000041,2011-01-02,1970-01-01 00:00:00.000000017,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1,0.2,0.2,0.5,0.1,149.0,1597,1746,1970-01-01 00:00:00.000000042,2011-01-02,1970-01-01 00:00:00.000000018,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1,0.2,0.2,0.5,0.2,288.0,1184,1472,1970-01-01 00:00:00.000000043,2011-01-02,1970-01-01 00:00:00.000000019,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1,0.3,0.3,0.5,0.3,397.0,1192,1589,1970-01-01 00:00:00.000000044,2011-01-02,1970-01-01 00:00:00.000000020,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1,0.4,0.4,0.4,0.35000000000000003,208.0,1705,1913,1970-01-01 00:00:00.000000045,2011-01-02,1970-01-01 00:00:00.000000021,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1,0.3,0.3,0.3,0.3,140.0,1675,1815,1970-01-01 00:00:00.000000046,2011-01-02,1970-01-01 00:00:00.000000022,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1,0.3,0.3,0.4,0.3,218.0,1897,2115,1970-01-01 00:00:00.000000047,2011-01-02,1970-01-01 00:00:00.000000023,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,1,0.4,0.4,0.5,0.2,259.0,2216,2475,1970-01-01 00:00:00.000000048,2011-01-03,1970-01-01 00:00:00.000000000,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,1,0.5,0.5,0.5,0.3,579.0,2348,2927,1970-01-01 00:00:00.000000049,2011-01-03,1970-01-01 00:00:00.000000001,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,1,0.4,0.4,0.20000000000000007,0.35000000000000003,532.0,1103,1635,1970-01-01 00:00:00.000000050,2011-01-03,1970-01-01 00:00:00.000000004,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,1,0.3,0.3,0.4,0.2,639.0,1173,1812,1970-01-01 00:00:00.000000051,2011-01-03,1970-01-01 00:00:00.000000005,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,2,0.3,0.3,0.6,0.3,195.0,912,1107,1970-01-01 00:00:00.000000052,2011-01-03,1970-01-01 00:00:00.000000006,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,1,0.2,0.2,0.6,0.2,74.0,1376,1450,1970-01-01 00:00:00.000000053,2011-01-03,1970-01-01 00:00:00.000000007,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,1,0.2,0.2,0.4,0.1,139.0,1778,1917,1970-01-01 00:00:00.000000054,2011-01-03,1970-01-01 00:00:00.000000008,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,2,0.3,0.3,0.7,0.3,100.0,1707,1807,1970-01-01 00:00:00.000000055,2011-01-03,1970-01-01 00:00:00.000000009,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,2,0.4,0.4,0.7,0.3,120.0,1341,1461,1970-01-01 00:00:00.000000056,2011-01-03,1970-01-01 00:00:00.000000010,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,1,0.3,0.3,0.5,0.2,424.0,1545,1969,1970-01-01 00:00:00.000000057,2011-01-03,1970-01-01 00:00:00.000000011,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,1,0.3,0.4,0.7,0.1,694.0,1708,2402,1970-01-01 00:00:00.000000058,2011-01-03,1970-01-01 00:00:00.000000012,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,2,0.4,0.4,0.9,0.3,81.0,1365,1446,1970-01-01 00:00:00.000000059,2011-01-03,1970-01-01 00:00:00.000000013,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,1,0.3,0.3,0.5,0.2,137.0,1714,1851,1970-01-01 00:00:00.000000060,2011-01-03,1970-01-01 00:00:00.000000014,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,1,0.3,0.3,0.4,0.3,231.0,1903,2134,1970-01-01 00:00:00.000000061,2011-01-03,1970-01-01 00:00:00.000000015,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,1,0.2,0.2,0.3,0.2,123.0,1562,1685,1970-01-01 00:00:00.000000062,2011-01-03,1970-01-01 00:00:00.000000016,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,2,0.3,0.3,0.6,0.2,214.0,1730,1944,1970-01-01 00:00:00.000000063,2011-01-03,1970-01-01 00:00:00.000000017,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,2,0.4,0.4,0.8,0.3,640.0,1437,2077,1970-01-01 00:00:00.000000064,2011-01-03,1970-01-01 00:00:00.000000018,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,2,0.4,0.4,0.9,0.3,114.0,491,605,1970-01-01 00:00:00.000000065,2011-01-03,1970-01-01 00:00:00.000000019,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,1,0.3,0.2,0.6,0.3,244.0,1628,1872,1970-01-01 00:00:00.000000066,2011-01-03,1970-01-01 00:00:00.000000020,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,1,0.3,0.3,0.4,0.1,316.0,1817,2133,1970-01-01 00:00:00.000000067,2011-01-03,1970-01-01 00:00:00.000000021,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,2,0.3,0.3,0.8,0.2,191.0,1700,1891,1970-01-01 00:00:00.000000068,2011-01-03,1970-01-01 00:00:00.000000022,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000001,3,0.4,0.4,0.6,0.3,46.0,577,623,1970-01-01 00:00:00.000000069,2011-01-03,1970-01-01 00:00:00.000000023,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000001,2,0.3,0.3,0.6,0.2,247.0,1730,1977,1970-01-01 00:00:00.000000070,2011-01-04,1970-01-01 00:00:00.000000000,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000001,1,0.3,0.3,0.6,0.2,724.0,1408,2132,1970-01-01 00:00:00.000000071,2011-01-04,1970-01-01 00:00:00.000000001,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000001,1,0.4,0.4,0.5,0.3,982.0,1435,2417,1970-01-01 00:00:00.000000072,2011-01-04,1970-01-01 00:00:00.000000002,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000001,1,0.3,0.3,0.5,0.1,359.0,1687,2046,1970-01-01 00:00:00.000000073,2011-01-04,1970-01-01 00:00:00.000000004,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000001,2,0.3,0.3,0.7,0.2,289.0,1767,2056,1970-01-01 00:00:00.000000074,2011-01-04,1970-01-01 00:00:00.000000005,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000001,2,0.4,0.4,0.8,0.2,321.0,1871,2192,1970-01-01 00:00:00.000000075,2011-01-04,1970-01-01 00:00:00.000000006,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000001,1,0.4,0.4,0.6,0.2,424.0,2320,2744,1970-01-01 00:00:00.000000076,2011-01-04,1970-01-01 00:00:00.000000007,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000001,1,0.5,0.5,0.5,0.2,884.0,2355,3239,1970-01-01 00:00:00.000000077,2011-01-04,1970-01-01 00:00:00.000000008,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000001,1,0.5,0.5,0.4,0.35000000000000003,1424.0,1693,3117,1970-01-01 00:00:00.000000078,2011-01-04,1970-01-01 00:00:00.000000009,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000001,1,0.3,0.3,0.5,0.2,1047.0,1424,2471,1970-01-01 00:00:00.000000079,2011-01-04,1970-01-01 00:00:00.000000010,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000001,2,0.4,0.4,0.7,0.3,401.0,1676,2077,1970-01-01 00:00:00.000000080,2011-01-04,1970-01-01 00:00:00.000000011,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000001,1,0.4,0.4,0.6,0.2,460.0,2243,2703,1970-01-01 00:00:00.000000081,2011-01-04,1970-01-01 00:00:00.000000012,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000001,2,0.3,0.3,0.8,0.2,203.0,1918,2121,1970-01-01 00:00:00.000000082,2011-01-04,1970-01-01 00:00:00.000000013,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000001,2,0.3,0.3,0.8,0.2,166.0,1699,1865,1970-01-01 00:00:00.000000083,2011-01-04,1970-01-01 00:00:00.000000014,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000001,1,0.3,0.3,0.5,0.2,300.0,1910,2210,1970-01-01 00:00:00.000000084,2011-01-04,1970-01-01 00:00:00.000000015,
1970-01-01 00:00:00.000000001,1970-01-01,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000002,1970-01-01 00:00:00.000000001,1,0.3,0.3,0.4,0.2,981.0,1515,2496,1970-01-01 00:00:00.000000085,2011-01-04,1970-01-01 00:00:00.000000016,
